"Идентификатор";"Элемент";"Корпус";"Количество";"Номинал";"Supplier and ref";
1;"U4";"ATOM010050030052";1;"ATOM010050030052";;;
2;"A1";"AMMAP004";1;"AMMAP004";;;
3;"C1,C4,C5";"C_1206";3;"22uF";;;
4;"C2,C6,C7";"C_0603";3;"1uF";;;
5;"C3";"C_0603";1;"1.5nF";;;
6;"C8";"C_0603";1;"10uF";;;
7;"C9";"C_0603";1;"0.01uF";;;
8;"C10";"C_0603";1;"30pF";;;
9;"D1,D2";"LED-0603";2;"LED_small";;;
10;"J1";"BARREL_JACK";1;"BARREL_JACK";;;
11;"J2";"JP3";1;"JP3";;;
12;"L1";"CDRH6D38NP";1;"3.3uH";;;
13;"L2";"C_0805";1;"BLM21PG221SN1D";;;
14;"M1";"LGA-234";1;"HL8548";;;
15;"P1";"Pin_Header_Angled_1x06";1;"CONN_01X06";;;
16;"Q1,Q2";"SOT-363";2;"MUN5211DW";;;
17;"R1";"R_0603";1;"0";;;
18;"R2";"R_0603";1;"12.1K";;;
19;"R3";"R_0603";1;"62K";;;
20;"R4";"R_0603";1;"15K";;;
21;"R5,R6";"R_0603";2;"R";;;
22;"S1,S2";"Pin_Header_Straight_1x10";2;"CONN_01X10";;;
23;"S3";"Pin_Header_Straight_1x03";1;"CONN_01X03";;;
24;"S4";"IPEX-20279-001E-01";1;"IPEX-20279-001E-01";;;
25;"U1";"SOIC8";1;"NCP3170";;;
26;"U2,U3";"SOT23-6";2;"SN74LVC1T45DBVR";;;
27;"U5";"SOT23-5";1;"TPS76333";;;
28;"U6";"SOT23-6L";1;"USBLC6-4";;;
29;"D3";"SOD-882";1;"ESD7471";;;
